message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,Financial transaction or payment alert from business business_002.,0.855,message_0263;message_0243;message_0102
msg_091,mute,scam,Phishing risk or security threat detected from sender u_049.,0.985,message_0238;message_0381;message_0096
msg_090,digest,event,Event schedule update from sender u_050 routed to digest.,0.6992,message_0023;message_0045;message_0365
msg_048,mute,scam,Phishing risk or security threat detected from sender u_053 in group group_011.,0.985,message_0237;message_0151;message_0152
msg_040,mute,forward,Broadcast message (7x forwards) from sender u_051 in group group_001 routed to mute.,0.645,message_0136;message_0135;message_0194
msg_075,digest,event,Event schedule update from business business_061 routed to digest.,0.7069,message_0206;message_0205;message_0294
msg_005,digest,business_update,Operational notification from sender u_048 in group group_005 routed to digest.,0.645,message_0049;message_0390;message_0401
msg_104,digest,business_update,Operational notification from sender u_048 routed to digest.,0.6365,message_0050;message_0224;message_0383
msg_069,mute,forward,Broadcast message (11x forwards) from sender u_051 in group group_001 routed to mute.,0.645,message_0177;message_0194;message_0042
msg_107,mute,scam,Phishing risk or security threat detected from sender u_050.,0.9748,message_0369;message_0213;message_0235
msg_070,mute,scam,Phishing risk or security threat detected from sender u_050 in group group_005.,0.985,message_0213;message_0196;message_0174
msg_003,mute,scam,Phishing risk or security threat detected from business business_001.,0.985,message_0400;message_0297;message_0031
msg_099,digest,event,Event schedule update from sender u_046 routed to digest.,0.7094,message_0227;message_0249;message_0118
msg_008,digest,business_update,Operational notification from business business_091 routed to digest.,0.6437,message_0296;message_0072;message_0071
msg_092,notify,payment,Financial transaction or payment alert from business business_076.,0.8324,message_0346;message_0102;message_0344
msg_060,digest,business_update,Operational notification from sender u_045 in group group_012 routed to digest.,0.645,message_0175;message_0404;message_0284
msg_004,digest,business_update,Operational notification from business business_004 routed to digest.,0.645,message_0047;message_0245;message_0005
msg_030,digest,business_update,Operational notification from sender u_048 in group group_005 routed to digest.,0.645,message_0050;message_0401;message_0113
msg_045,digest,business_update,Operational notification from sender u_047 in group group_010 routed to digest.,0.645,message_0146;message_0145;message_0378
msg_052,digest,business_update,Operational notification from business business_064 routed to digest.,0.6378,message_0207;message_0208;message_0159
msg_009,digest,business_update,Operational notification from sender u_054 in group group_018 routed to digest.,0.645,message_0073;message_0343;message_0074
msg_071,notify,personal,Direct personal communication from sender u_041 in group group_008 routed to notify.,0.795,message_0197;message_0198;message_0165
msg_016,mute,scam,Phishing risk or security threat detected from sender u_050 in group group_005.,0.985,message_0202;message_0184;message_0201
msg_065,mute,scam,Phishing risk or security threat detected from business business_067.,0.985,message_0351;message_0261;message_0260
msg_038,notify,urgent,Time-sensitive alert from sender u_051 in group group_016 requiring immediate user attention.,0.875,message_0131;message_0132;message_0079
msg_086,mute,spam,Empty or negligible content message muted as spam.,0.888,message_0222;message_0299;message_0272
msg_014,notify,personal,Direct personal communication from business business_094 routed to notify.,0.795,message_0317;message_0258;message_0018
msg_094,digest,business_update,Operational notification from business business_012 routed to digest.,0.6235,message_0356;message_0203;message_0223
msg_029,mute,spam,Unsolicited broadcast content from sender u_048 in group group_005 muted.,0.925,message_0049;message_0390;message_0401
msg_105,mute,forward,Broadcast message (7x forwards) from sender u_051 routed to mute.,0.6408,message_0373;message_0233;message_0079
msg_002,digest,business_update,Operational notification from sender u_046 in group group_004 routed to digest.,0.645,message_0003;message_0060;message_0170
msg_010,digest,greeting,Social greeting from business business_096 routed to digest.,0.565,message_0311;message_0011;message_0242
msg_078,notify,urgent,Time-sensitive alert from sender u_049 in group group_005 requiring immediate user attention.,0.875,message_0211;message_0212;message_0025
msg_013,notify,payment,Financial transaction or payment alert from sender u_048 in group group_012.,0.855,message_0081;message_0082;message_0019
msg_018,mute,spam,Unsolicited broadcast content from sender u_050 in group group_005 muted.,0.9246,message_0092;message_0091;message_0174
msg_044,mute,scam,Phishing risk or security threat detected from sender u_049 in group group_005.,0.985,message_0144;message_0036;message_0143
msg_032,digest,business_update,Operational notification from sender u_054 in group group_023 routed to digest.,0.645,message_0120;message_0119;message_0285
msg_106,digest,business_update,Operational notification from sender u_054 routed to digest.,0.6379,message_0376;message_0234;message_0377
msg_006,notify,payment,Financial transaction or payment alert from sender u_043 in group group_002.,0.855,message_0029;message_0129;message_0215
msg_109,notify,payment,Financial transaction or payment alert from sender u_053 in group group_011.,0.855,message_0237;message_0151;message_0152
msg_108,mute,scam,Phishing risk or security threat detected from business business_062.,0.9802,message_0094;message_0093;message_0236
msg_019,notify,payment,Financial transaction or payment alert from business business_062.,0.8475,message_0277;message_0093;message_0094
msg_088,digest,business_update,Operational notification from sender u_048 in group group_005 routed to digest.,0.62,message_0050;message_0335;message_0224
msg_056,notify,personal,Direct personal communication from sender u_041 in group group_001 routed to notify.,0.795,message_0168;message_0167;message_0359
msg_027,mute,scam,Phishing risk or security threat detected from business business_092.,0.985,message_0299;message_0272;message_0033
msg_050,digest,business_update,Operational notification from business business_032 routed to digest.,0.645,message_0246;message_0279;message_0278
msg_083,digest,business_update,Operational notification from sender u_046 in group group_004 routed to digest.,0.62,message_0219;message_0218;message_0003
msg_063,mute,scam,Phishing risk or security threat detected from sender u_049 in group group_014.,0.985,message_0181;message_0182;message_0025
